Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Sales
ORD001,2025-02-21,Laptop,Electronics,Madurai,4.0,27984.644999999997,111938.57999999999
ORD002,2025-03-05,Laptop,Electronics,Madurai,4.0,27984.644999999997,111938.57999999999
ORD003,2025-03-03,Monitor,Electronics,Chennai,4.0,25507.35,102029.4
ORD004,2025-01-22,Webcam,Accessories,Madurai,3.0,4098.95,12296.849999999999
ORD005,2025-03-07,Monitor,Electronics,Hyderabad,4.0,26277.99,105111.96
ORD006,2025-04-17,Keyboard,Accessories,Chennai,2.0,2252.84,4505.68
ORD007,2025-01-20,Webcam,Accessories,Coimbatore,5.0,5716.32,28581.6
ORD008,2025-02-23,Monitor,Electronics,Chennai,2.0,27984.644999999997,55969.28999999999
ORD009,2025-02-13,Monitor,Electronics,Hyderabad,4.0,13087.41,52349.64
ORD010,2025-03-31,Keyboard,Accessories,Coimbatore,1.0,1132.01,1132.01
ORD011,2025-02-19,Webcam,Accessories,Bengaluru,4.0,7798.56,31194.24
ORD012,2025-04-06,Webcam,Accessories,Chennai,2.0,4711.25,9422.5
ORD013,2025-02-09,Keyboard,Accessories,Bengaluru,1.0,2031.97,2031.97
ORD014,2025-01-20,Mouse,Accessories,Madurai,4.0,1318.02,5272.08
ORD015,2025-04-03,Mouse,Accessories,Madurai,4.0,1055.97,4223.88
ORD016,2025-04-18,Keyboard,Accessories,Bengaluru,5.0,1784.94,8924.7
ORD017,2025-04-10,Headphones,Accessories,Chennai,4.0,1940.69,7762.76
ORD018,2025-04-04,Monitor,Electronics,Coimbatore,1.0,25525.41,25525.41
ORD019,2025-03-08,Keyboard,Accessories,Hyderabad,4.0,2886.04,11544.16
ORD020,2025-01-30,Mouse,Accessories,Chennai,3.0,693.57,2080.71
ORD021,2025-04-13,Keyboard,Accessories,Hyderabad,4.0,2019.07,8076.28
ORD022,2025-03-09,Laptop,Electronics,Hyderabad,4.0,3737.105,14948.42
ORD023,2025-03-14,Laptop,Electronics,Chennai,3.0,27984.644999999997,83953.935
ORD024,2025-02-03,Keyboard,Accessories,Hyderabad,3.0,1300.84,3902.5199999999995
ORD025,2025-04-09,Webcam,Accessories,Chennai,5.0,3250.42,16252.1
ORD026,2025-02-22,Webcam,Accessories,Coimbatore,2.0,3620.28,7240.56
ORD027,2025-04-30,Laptop,Electronics,Coimbatore,3.0,27984.644999999997,83953.935
