Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Sales
ORD001,2025-02-21,Laptop,Electronics,Madurai,4.0,62555.14,250220.56
ORD002,2025-03-05,Laptop,Electronics,Madurai,4.0,48767.09,195068.36
ORD003,2025-03-03,Monitor,Electronics,Chennai,4.0,25507.35,102029.4
ORD004,2025-01-22,Webcam,Accessories,Madurai,3.0,4098.95,12296.85
ORD005,2025-03-07,Monitor,Electronics,Hyderabad,4.0,26277.99,105111.96
ORD006,2025-04-17,Keyboard,Accessories,Chennai,2.0,2252.84,4505.68
ORD007,2025-01-20,Webcam,Accessories,Coimbatore,5.0,5716.32,28581.6
ORD008,2025-02-23,Monitor,Electronics,,2.0,29384.66,58769.32
ORD009,2025-02-13,Monitor,Electronics,Hyderabad,4.0,13087.41,52349.64
ORD010,2025-03-31,Keyboard,Accessories,Coimbatore,1.0,1132.01,1132.01
ORD011,2025-02-19,Webcam,Accessories,Bengaluru,4.0,7798.56,31194.24
ORD012,2025-04-06,Webcam,Accessories,Chennai,2.0,4711.25,9422.5
ORD013,2025-02-09,Keyboard,Accessories,Bengaluru,1.0,2031.97,2031.97
ORD014,2025-01-20,Mouse,Accessories,Madurai,4.0,1318.02,5272.08
ORD015,2025-04-03,Mouse,Accessories,Madurai,4.0,1055.97,4223.88
ORD016,2025-04-18,Keyboard,Accessories,Bengaluru,5.0,1784.94,8924.7
ORD017,2025-04-10,Headphones,Accessories,Chennai,4.0,1940.69,7762.76
ORD018,2025-04-04,Monitor,Electronics,Coimbatore,1.0,25525.41,25525.41
ORD019,2025-03-08,Keyboard,Accessories,Hyderabad,4.0,2886.04,11544.16
ORD020,2025-01-30,Mouse,Accessories,Chennai,3.0,693.57,2080.71
ORD021,2025-04-13,Keyboard,Accessories,Hyderabad,4.0,2019.07,8076.28
ORD022,2025-03-09,Laptop,Electronics,Hyderabad,4.0,,281554.92
ORD023,2025-03-14,Laptop,Electronics,Chennai,3.0,57158.0,171474.0
ORD024,2025-02-03,Keyboard,Accessories,Hyderabad,3.0,1300.84,3902.52
ORD025,2025-04-09,Webcam,Accessories,Chennai,5.0,3250.42,16252.1
ORD026,2025-02-22,Webcam,Accessories,Coimbatore,2.0,3620.28,7240.56
ORD027,2025-04-30,Laptop,Electronics,Coimbatore,3.0,76355.93,229067.79
ORD028,2025-02-08,Keyboard,Accessories,Chennai,3.0,2979.26,8937.78
ORD029,2025-04-03,Keyboard,Accessories,Coimbatore,1.0,952.13,952.13
ORD030,2025-04-19,Monitor,Electronics,Hyderabad,3.0,12386.71,37160.13
ORD031,2025-03-01,Webcam,Accessories,Hyderabad,50.0,6117.19,6117.19
ORD032,2025-03-24,Laptop,Electronics,Coimbatore,2.0,250000.0,114120.96
ORD033,2025-02-11,Mouse,Accessories,Chennai,2.0,584.06,1168.12
ORD034,2025-03-01,Keyboard,Accessories,Coimbatore,5.0,3244.03,16220.15
ORD035,2025-02-01,Keyboard,Accessories,Coimbatore,2.0,3413.69,6827.38
ORD036,2025-03-30,Headphones,Accessories,Bengaluru,4.0,3581.62,14326.48
ORD037,2025-01-16,Laptop,Electronics,Hyderabad,1.0,81104.1,81104.1
ORD038,2025-04-08,Monitor,Electronics,Hyderabad,2.0,15425.09,30850.18
ORD039,2025-01-03,Mouse,Accessories,Coimbatore,1.0,2198.89,2198.89
ORD040,2025-02-07,Keyboard,Accessories,Coimbatore,4.0,1909.86,7639.44
ORD041,2025-03-17,Laptop,Electronics,Chennai,3.0,70993.86,212981.58
ORD042,2025-01-22,Monitor,Electronics,Hyderabad,3.0,9873.9,29621.7
ORD043,2025-03-23,Headphones,Accessories,Chennai,2.0,1965.98,3931.96
ORD044,2025-02-05,Headphones,Accessories,Madurai,3.0,2104.14,6312.42
ORD045,2025-03-15,,Accessories,Hyderabad,3.0,3950.59,11851.77
ORD046,2025-02-20,Headphones,Accessories,Hyderabad,1.0,6280.36,6280.36
ORD047,2025-02-03,Keyboard,Accessories,Hyderabad,4.0,931.64,3726.56
ORD048,2025-01-20,Monitor,Electronics,Hyderabad,3.0,28694.36,86083.08
ORD049,2025-04-25,Mouse,Accessories,Bengaluru,3.0,960.65,2881.95
ORD050,2025-02-04,Mouse,Accessories,Chennai,3.0,1321.71,3965.13
ORD051,2025-03-07,Keyboard,Accessories,Chennai,5.0,3209.25,16046.25
ORD052,2025-03-21,Headphones,Accessories,Coimbatore,3.0,1775.45,5326.35
ORD053,2025-03-29,Laptop,Electronics,Coimbatore,2.0,71376.91,142753.82
ORD054,2025-03-15,Webcam,Accessories,Madurai,4.0,2467.99,9871.96
ORD055,2025-01-17,Webcam,Accessories,Hyderabad,2.0,2031.96,4063.92
ORD056,2025-02-25,Mouse,Accessories,Madurai,-2.0,2142.56,4285.12
ORD057,2025-03-18,Webcam,Accessories,Bengaluru,2.0,7707.98,15415.96
ORD058,2025-04-29,Mouse,Accessories,Madurai,3.0,937.53,2812.59
